EventId,EventTemplate,Occurrences
dc2c74b7,PacketResponder <*> for block <*> terminating,36
5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,49
e3df2680,Received block <*> of size <*> from <*>,33
09a53393,Receiving block <*> src: <*> dest: <*>,30
3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,17
32777b38,Verification succeeded for <*>,2
d63ef163,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,1
626085d5,<*> Served block <*> to <*>,2
81cee340,<*>Got exception while serving <*> to <*>,2
84d1a4ef,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir38/<*>,1
